# # q/A,1000000.0x,2000000.0x,3000000.0x,4000000.0x,5000000.0x,6000000.0x,7000000.0x,8000000.0x,9000000.0x,10000000.0
# 
0.49705855,0.00000000,0.00000020,0.00000009,0.00000009,0.00000015,0.00000017,0.00000019,0.00000000,0.00000000,0.00000000
0.50447734,0.00000000,0.00000022,0.00000009,0.00000008,0.00000016,0.00000019,0.00000018,0.00000000,0.00000000,0.00000000
0.51189612,0.00000000,0.00000022,0.00000009,0.00000008,0.00000016,0.00000016,0.00000021,0.00000000,0.00000000,0.00000000
0.51931491,0.00000000,0.00000022,0.00000009,0.00000009,0.00000015,0.00000018,0.00000022,0.00000000,0.00000000,0.00000000
0.52673369,0.00000000,0.00000021,0.00000010,0.00000008,0.00000015,0.00000018,0.00000018,0.00000000,0.00000000,0.00000000
0.53415247,0.00000000,0.00000022,0.00000010,0.00000008,0.00000015,0.00000018,0.00000021,0.00000000,0.00000000,0.00000000
0.54157126,0.00000000,0.00000021,0.00000010,0.00000008,0.00000015,0.00000016,0.00000023,0.00000000,0.00000000,0.00000000
0.54899004,0.00000000,0.00000021,0.00000010,0.00000008,0.00000016,0.00000018,0.00000026,0.00000000,0.00000000,0.00000000
0.55640883,0.00000000,0.00000023,0.00000009,0.00000008,0.00000014,0.00000017,0.00000020,0.00000000,0.00000000,0.00000000
0.56382761,0.00000000,0.00000020,0.00000010,0.00000008,0.00000014,0.00000015,0.00000021,0.00000000,0.00000000,0.00000000
0.57124640,0.00000000,0.00000021,0.00000010,0.00000007,0.00000015,0.00000015,0.00000021,0.00000000,0.00000000,0.00000000
0.57866518,0.00000000,0.00000021,0.00000009,0.00000008,0.00000016,0.00000015,0.00000018,0.00000000,0.00000000,0.00000000
0.58608397,0.00000000,0.00000022,0.00000010,0.00000008,0.00000015,0.00000018,0.00000023,0.00000000,0.00000000,0.00000000
0.59350275,0.00000000,0.00000022,0.00000010,0.00000008,0.00000015,0.00000017,0.00000021,0.00000000,0.00000000,0.00000000
0.60092153,0.00000000,0.00000021,0.00000010,0.00000008,0.00000016,0.00000017,0.00000020,0.00000000,0.00000000,0.00000000
0.60834032,0.00000000,0.00000021,0.00000010,0.00000008,0.00000015,0.00000016,0.00000020,0.00000000,0.00000000,0.00000000
0.61575910,0.00000000,0.00000023,0.00000009,0.00000008,0.00000015,0.00000014,0.00000018,0.00000000,0.00000000,0.00000000
0.62317789,0.00000000,0.00000021,0.00000009,0.00000008,0.00000015,0.00000016,0.00000029,0.00000000,0.00000000,0.00000000
0.63059667,0.00000000,0.00000018,0.00000009,0.00000008,0.00000014,0.00000017,0.00000017,0.00000000,0.00000000,0.00000000
0.63801546,0.00000000,0.00000022,0.00000009,0.00000008,0.00000014,0.00000017,0.00000023,0.00000000,0.00000000,0.00000000
0.64543424,0.00000000,0.00000022,0.00000010,0.00000008,0.00000015,0.00000020,0.00000021,0.00000000,0.00000000,0.00000000
0.65285302,0.00000000,0.00000021,0.00000010,0.00000008,0.00000014,0.00000016,0.00000023,0.00000000,0.00000000,0.00000000
0.66027181,0.00000000,0.00000022,0.00000009,0.00000008,0.00000014,0.00000014,0.00000020,0.00000000,0.00000000,0.00000000
0.66769059,0.00000000,0.00000021,0.00000009,0.00000008,0.00000014,0.00000017,0.00000024,0.00000000,0.00000000,0.00000000
0.67510938,0.00000000,0.00000020,0.00000009,0.00000008,0.00000015,0.00000014,0.00000026,0.00000000,0.00000000,0.00000000
0.68252816,0.00000000,0.00000021,0.00000009,0.00000008,0.00000014,0.00000017,0.00000016,0.00000000,0.00000000,0.00000000
0.68994695,0.00000000,0.00000020,0.00000009,0.00000008,0.00000014,0.00000019,0.00000028,0.00000000,0.00000000,0.00000000
0.69736573,0.00000000,0.00000023,0.00000009,0.00000008,0.00000014,0.00000019,0.00000025,0.00000000,0.00000000,0.00000000
0.70478452,0.00000000,0.00000022,0.00000009,0.00000008,0.00000015,0.00000018,0.00000018,0.00000000,0.00000000,0.00000000
0.71220330,0.00000000,0.00000022,0.00000010,0.00000008,0.00000015,0.00000018,0.00000018,0.00000000,0.00000000,0.00000000
0.71962208,0.00000000,0.00000021,0.00000009,0.00000008,0.00000015,0.00000019,0.00000016,0.00000000,0.00000000,0.00000000
0.72704087,0.00000000,0.00000022,0.00000009,0.00000008,0.00000015,0.00000018,0.00000021,0.00000000,0.00000000,0.00000000
0.73445965,0.00000000,0.00000021,0.00000010,0.00000008,0.00000015,0.00000017,0.00000021,0.00000000,0.00000000,0.00000000
