# # q/A,25.0fs,50.0fs,60.0fs,70.0fs,80.0fs,90.0fs,100.0
# 
1.93630272,0.00400214,0.00378729,0.00339606,0.00333876,0.00314423,0.00301046,0.00301967
1.94372151,0.00406401,0.00380001,0.00339266,0.00333519,0.00313889,0.00300726,0.00300580
1.95114029,0.00411188,0.00382530,0.00339175,0.00333408,0.00312956,0.00299948,0.00300436
1.95855907,0.00406876,0.00383436,0.00339156,0.00333064,0.00313450,0.00299177,0.00299923
1.96597786,0.00413817,0.00384066,0.00338735,0.00332565,0.00312665,0.00298344,0.00299623
1.97339664,0.00411543,0.00384536,0.00337807,0.00331512,0.00312342,0.00297548,0.00298706
1.98081543,0.00411853,0.00385742,0.00338329,0.00332259,0.00312533,0.00297411,0.00298468
1.98823421,0.00416951,0.00385070,0.00336738,0.00330380,0.00312712,0.00296703,0.00298235
1.99565300,0.00416176,0.00387569,0.00337063,0.00330862,0.00311563,0.00295491,0.00297019
2.00307178,0.00424844,0.00387491,0.00337165,0.00330831,0.00311677,0.00295867,0.00297895
2.01049056,0.00420487,0.00388312,0.00336279,0.00329618,0.00310624,0.00294853,0.00296185
2.01790935,0.00422404,0.00388124,0.00335366,0.00328779,0.00310087,0.00293581,0.00295557
2.02532813,0.00416409,0.00389677,0.00334869,0.00328144,0.00308728,0.00293252,0.00294720
2.03274692,0.00425371,0.00388581,0.00333857,0.00327264,0.00309295,0.00292123,0.00293995
2.04016570,0.00422617,0.00389802,0.00334083,0.00327614,0.00308460,0.00292202,0.00294501
2.04758449,0.00420623,0.00390031,0.00332450,0.00326108,0.00308204,0.00290974,0.00293027
2.05500327,0.00421912,0.00388766,0.00332023,0.00325030,0.00307054,0.00289924,0.00292726
2.06242205,0.00424426,0.00388678,0.00330874,0.00324495,0.00305885,0.00288910,0.00291096
2.06984084,0.00423023,0.00388758,0.00330310,0.00324024,0.00305661,0.00288032,0.00290758
2.07725962,0.00422340,0.00389005,0.00329326,0.00322796,0.00304830,0.00287811,0.00290604
2.08467841,0.00422560,0.00388931,0.00328435,0.00322058,0.00303932,0.00286264,0.00289413
2.09209719,0.00422620,0.00388597,0.00327632,0.00321379,0.00303087,0.00286142,0.00289138
2.09951598,0.00424559,0.00387953,0.00326618,0.00320064,0.00301910,0.00284417,0.00287667
2.10693476,0.00423299,0.00386091,0.00325243,0.00318470,0.00301802,0.00283408,0.00286744
2.11435355,0.00419260,0.00385085,0.00324162,0.00317453,0.00300238,0.00282638,0.00285676
